temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,surface_pressure,month,hour,heating_season,temp_x_wind,pm2_5
7.9,95,11.1,0.7,870.0,6,10,0,87.69,10.3
7.3,96,13.7,0.0,874.1,8,8,0,100.00999999999999,1.5
4.4,98,7.0,0.0,865.4,9,5,0,30.800000000000004,2.6
1.6,52,7.8,0.0,874.3,10,22,0,12.48,9.9
-17.1,62,5.9,0.0,871.6,1,17,1,-100.89000000000001,42.0
8.2,78,5.7,0.0,877.4,9,8,0,46.739999999999995,27.9
17.6,41,4.5,0.0,867.0,8,11,0,79.2,5.0
18.4,43,9.1,0.0,870.3,6,14,0,167.43999999999997,13.1
-17.0,73,17.7,0.2,859.3,2,16,1,-300.9,2.1
-14.2,76,7.7,0.0,868.9,3,6,1,-109.34,74.3
20.0,35,7.4,0.0,872.7,6,19,0,148.0,10.5
1.6,70,8.8,0.0,863.1,4,23,0,14.080000000000002,17.7
18.3,20,13.6,0.0,863.1,5,12,0,248.88,1.5
0.6,93,6.8,0.0,878.6,5,0,0,4.08,7.2
14.7,98,3.8,0.0,858.2,7,2,0,55.85999999999999,10.7
14.7,80,16.3,0.1,857.6,7,15,0,239.60999999999999,1.7
10.8,96,5.8,0.0,866.4,6,4,0,62.64,10.9
5.3,82,9.1,0.0,871.4,6,3,0,48.23,11.8
-31.1,59,6.8,0.0,879.8,1,12,1,-211.48000000000002,12.1
3.3,36,2.6,0.0,873.0,10,12,0,8.58,14.3
16.3,61,3.6,0.0,870.3,7,0,0,58.68000000000001,13.2
21.8,38,3.6,0.0,870.0,8,13,0,78.48,2.6
8.7,25,8.3,0.0,870.7,4,23,0,72.21,20.0
17.3,49,10.8,0.0,869.7,8,22,0,186.84000000000003,18.1
-37.3,79,10.5,0.0,878.0,2,7,1,-391.65,27.1
3.6,53,3.6,0.0,875.8,5,6,0,12.96,14.1
-14.3,61,1.6,0.0,875.7,1,14,1,-22.880000000000003,26.0
7.5,84,1.8,0.0,866.6,8,6,0,13.5,6.1
6.9,84,5.2,0.2,863.3,9,5,0,35.88,12.6
-11.7,74,4.2,0.1,873.1,12,17,1,-49.14,25.5
16.9,31,1.4,0.0,863.8,5,21,0,23.659999999999997,15.2
14.0,38,8.7,0.0,868.5,9,0,0,121.79999999999998,5.4
-7.6,67,5.4,0.0,875.9,11,21,1,-41.04,28.4
-18.3,73,3.7,0.0,875.8,12,15,1,-67.71000000000001,21.5
20.8,54,3.7,0.0,869.2,7,9,0,76.96000000000001,7.2
-10.4,84,5.4,0.0,863.2,1,22,1,-56.160000000000004,40.9
26.4,37,1.3,0.0,870.6,6,14,0,34.32,26.4
8.2,31,8.9,0.0,860.0,3,18,1,72.97999999999999,4.1
9.8,33,18.4,0.0,867.1,4,16,0,180.32,2.5
11.3,94,4.0,0.0,866.7,6,4,0,45.2,9.6
11.4,65,1.9,0.0,875.6,9,11,0,21.66,3.8
-12.5,74,5.3,0.0,871.5,3,1,1,-66.25,23.3
21.7,43,11.7,0.0,871.7,8,16,0,253.89,2.7
-3.0,68,8.9,0.0,876.4,3,13,1,-26.700000000000003,6.2
-0.7,64,8.6,0.0,865.7,11,3,1,-6.02,13.0
15.3,21,17.2,0.0,866.8,4,16,0,263.16,1.7
